iter	Passed	Remaining
0	139	139333
1	141	70574
2	142	47233
3	143	35760
4	145	28910
5	147	24449
6	148	21048
7	149	18598
8	151	16720
9	153	15172
10	154	13898
11	155	12828
12	156	11912
13	158	11135
14	159	10453
15	160	9876
16	161	9356
17	162	8875
18	163	8459
19	165	8089
20	166	7748
21	167	7435
22	168	7143
23	168	6870
24	169	6620
25	170	6397
26	171	6184
27	172	5989
28	173	5809
29	174	5637
30	175	5474
31	175	5319
32	176	5173
33	177	5035
34	177	4906
35	178	4785
36	179	4665
37	180	4557
38	180	4452
39	181	4351
40	181	4254
41	182	4162
42	183	4074
43	183	3992
44	184	3914
45	185	3837
46	185	3764
47	186	3694
48	186	3627
49	187	3567
50	188	3509
51	189	3450
52	189	3393
53	190	3336
54	190	3281
55	191	3229
56	192	3179
57	192	3129
58	193	3082
59	193	3035
60	194	2991
61	194	2948
62	195	2907
63	196	2867
64	196	2828
65	197	2790
66	197	2752
67	198	2716
68	198	2681
69	199	2648
70	200	2617
71	200	2587
72	201	2559
73	202	2530
74	202	2500
75	203	2471
76	203	2443
77	204	2416
78	204	2389
79	205	2363
80	206	2337
81	206	2313
82	206	2285
83	207	2263
84	208	2240
85	208	2218
86	209	2197
87	209	2175
88	210	2155
89	211	2135
90	211	2116
91	212	2098
92	213	2083
93	214	2065
94	215	2048
95	215	2033
96	216	2016
97	217	2000
98	218	1985
99	218	1970
100	219	1955
101	220	1940
102	221	1926
103	221	1911
104	222	1896
105	223	1881
106	223	1868
107	224	1854
108	225	1841
109	225	1827
110	226	1814
111	227	1801
112	227	1788
113	228	1776
114	229	1763
115	230	1753
116	230	1741
117	231	1731
118	232	1720
119	233	1708
120	233	1697
121	234	1685
122	234	1674
123	235	1663
124	236	1653
125	236	1643
126	237	1631
127	238	1621
128	238	1611
129	239	1601
130	239	1591
131	240	1581
132	241	1571
133	241	1562
134	242	1554
135	243	1545
136	244	1537
137	244	1528
138	245	1521
139	246	1513
140	247	1505
141	247	1496
142	248	1488
143	249	1480
144	249	1473
145	250	1465
146	251	1457
147	251	1450
148	252	1442
149	253	1434
150	253	1427
151	254	1420
152	255	1413
153	256	1406
154	256	1399
155	257	1392
156	258	1385
157	258	1378
158	259	1372
159	260	1365
160	260	1358
161	261	1353
162	262	1347
163	263	1340
164	263	1334
165	264	1328
166	265	1322
167	265	1315
168	266	1309
169	267	1303
170	267	1297
171	268	1291
172	269	1286
173	269	1280
174	270	1276
175	271	1271
176	272	1266
177	273	1260
178	273	1255
179	274	1249
180	275	1245
181	275	1240
182	276	1235
183	277	1229
184	277	1224
185	278	1219
186	279	1214
187	280	1210
188	280	1205
189	281	1200
190	282	1195
191	282	1190
192	283	1186
193	284	1181
194	284	1176
195	285	1171
196	286	1167
197	287	1162
198	287	1158
199	288	1153
200	288	1148
201	289	1144
202	290	1140
203	291	1136
204	292	1132
205	292	1128
206	293	1123
207	293	1119
208	294	1114
209	295	1110
210	295	1106
211	296	1102
212	297	1099
213	298	1096
214	299	1092
215	300	1089
216	300	1085
217	301	1081
218	301	1076
219	302	1072
220	303	1068
221	303	1065
222	304	1060
223	305	1057
224	306	1055
225	306	1051
226	307	1047
227	308	1043
228	308	1040
229	309	1036
230	310	1035
231	311	1032
232	312	1028
233	313	1025
234	313	1021
235	314	1018
236	315	1015
237	316	1012
238	316	1009
239	317	1005
240	318	1002
241	319	999
242	319	995
243	320	992
244	321	989
245	321	986
246	322	982
247	323	979
248	324	977
249	324	974
250	325	971
251	326	968
252	327	965
253	327	963
254	328	960
255	329	957
256	330	954
257	330	951
258	331	948
259	332	945
260	332	942
261	333	939
262	334	936
263	335	933
264	335	931
265	336	929
266	337	926
267	338	923
268	338	920
269	339	918
270	340	916
271	341	914
272	342	911
273	343	909
274	343	906
275	344	903
276	345	900
277	345	898
278	346	895
279	347	892
280	347	890
281	348	887
282	349	884
283	349	881
284	350	879
285	351	877
286	351	874
287	352	871
288	353	869
289	354	866
290	354	864
291	355	861
292	355	858
293	356	856
294	357	853
295	357	851
296	358	848
297	359	846
298	359	843
299	360	841
300	361	838
301	361	836
302	362	833
303	363	831
304	363	829
305	364	826
306	365	824
307	366	822
308	366	820
309	367	818
310	368	816
311	369	814
312	369	811
313	370	809
314	371	807
315	372	805
316	373	803
317	373	801
318	374	799
319	375	797
320	375	795
321	376	793
322	377	791
323	378	788
324	378	786
325	379	784
326	380	783
327	381	781
328	382	779
329	382	777
330	383	775
331	384	773
332	384	770
333	385	768
334	386	766
335	386	764
336	387	762
337	388	760
338	388	758
339	389	756
340	390	754
341	390	751
